Email Date,From (Company),PO Number,Order Number,Tracking Number,Carrier,Ship Date,Estimated Delivery,Recipient / Site Name,Recipient Email,Subject,Body Preview
2025-11-11,Exertis ProAV,PO-77314,EX-65292,720001188550,FedEx,2025-10-30,2025-11-13,Training Center - VisionTech,orders@training.com,Exertis ProAV Order EX-65292 Shipment Notification,Your order EX-65292 (PO PO-11220) from Exertis ProAV has shipped via FedEx. Tracking number: 720001188550.
2025-10-27,Almo Pro A/V,PO-45971,AL-80332,1Z96727345802962470,UPS,2025-11-08,2025-11-12,Conference Hall B - OmniTech,orders@conference.com,Almo Pro A/V Order AL-80332 Shipment Notification,Your order AL-80332 (PO PO-11221) from Almo Pro A/V has shipped via UPS. Tracking number: 1Z96727345802962470.
2025-10-30,TechData AV,PO-86977,TE-29976,1Z44447550311689221,UPS,2025-11-05,2025-11-13,Auditorium Retrofit - Delta High,orders@auditorium.com,TechData AV Order TE-29976 Shipment Notification,Your order TE-29976 (PO PO-11222) from TechData AV has shipped via UPS. Tracking number: 1Z44447550311689221.
2025-11-03,Almo Pro A/V,PO-64118,AL-25680,1Z79698343417548881,UPS,2025-11-04,2025-11-08,Auditorium Retrofit - Delta High,orders@auditorium.com,Almo Pro A/V Order AL-25680 Shipment Notification,Your order AL-25680 (PO PO-11223) from Almo Pro A/V has shipped via UPS. Tracking number: 1Z79698343417548881.
2025-11-03,Almo Pro A/V,PO-76221,AL-68996,1Z93858975991137303,UPS,2025-11-03,2025-11-19,Main Office - Quantum Labs,orders@main.com,Almo Pro A/V Order AL-68996 Shipment Notification,Your order AL-68996 (PO PO-11224) from Almo Pro A/V has shipped via UPS. Tracking number: 1Z93858975991137303.
2025-10-25,ADI Global Distribution,PO-73842,AD-96703,1Z23694346377253960,UPS,2025-11-11,2025-11-20,AV Rack - GreenPower,orders@av.com,ADI Global Distribution Order AD-96703 Shipment Notification,Your order AD-96703 (PO PO-11225) from ADI Global Distribution has shipped via UPS. Tracking number: 1Z23694346377253960.
2025-11-11,Exertis ProAV,PO-43489,EX-48046,255891029376,FedEx,2025-11-02,2025-11-18,Auditorium Retrofit - Delta High,orders@auditorium.com,Exertis ProAV Order EX-48046 Shipment Notification,Your order EX-48046 (PO PO-11226) from Exertis ProAV has shipped via FedEx. Tracking number: 255891029376.
2025-10-29,ADI Global Distribution,PO-64349,AD-11543,JD817318462US,DHL,2025-11-09,2025-11-21,AV Closet - SmartHome Inc,orders@av.com,ADI Global Distribution Order AD-11543 Shipment Notification,Your order AD-11543 (PO PO-11227) from ADI Global Distribution has shipped via DHL. Tracking number: JD817318462US.
2025-11-08,AVI-SPL Partner,PO-25087,AV-44497,132666783547,FedEx,2025-10-30,2025-11-13,Auditorium Retrofit - Delta High,orders@auditorium.com,AVI-SPL Partner Order AV-44497 Shipment Notification,Your order AV-44497 (PO PO-11228) from AVI-SPL Partner has shipped via FedEx. Tracking number: 132666783547.
2025-11-11,Almo Pro A/V,PO-62791,AL-35529,1Z80725685440200892,UPS,2025-10-31,2025-11-21,AV Closet - SmartHome Inc,orders@av.com,Almo Pro A/V Order AL-35529 Shipment Notification,Your order AL-35529 (PO PO-11229) from Almo Pro A/V has shipped via UPS. Tracking number: 1Z80725685440200892.
